Source:;D:\ElektronicznyDeVeLoPiNg\Weatherever\Weather-ever\Hardware\Weatherever_board_rev1\Weatherever_board_rev1.kicad_sch;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;15.04.2023 16:20:05;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Tool:;Eeschema (6.0.2);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Generator:;C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Component Count:;116;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
BT101; ;1;RTC_Bat;Battery_Cell;Battery:BatteryHolder_Keystone_3002_1x2032;Single-cell battery;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C101; C102; C104; C107; C108; C109; C110; C111; C112; C113; C114; C301; C303; C305; C401; C402; C403; C404; C405; C413; C414; ;21;100n;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol
;;;;;;;;;;;;;;;;;;;;;;;;;;
C103; C105; ;2;1u;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C106; ;1;10u;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C201; C202; ;2;1500u;C_Polarized;;Polarized capacitor;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C203; ;1;10n;C_Small;;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C204; ;1;10u;C_Polarized;;Polarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C205; ;1;100u;C_Polarized;;Polarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C206; ;1;330n;C_Polarized;;Polarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C207; ;1;100n;C;;Unpolarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C302; C304; ;2;10n;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C406; ;1;1p5;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C407; ;1;12p;C;;Unpolarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C408; ;1;1p;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C409; ;1;1p5;C;;Unpolarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C410; ;1;3p3;C;;Unpolarized capacitor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C411; ;1;47p;C_Small;;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C412; ;1;100p;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
C415; C416; ;2;13p;C_Small;;Unpolarized capacitor, small symbol;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
D101; ;1;RX_LED;LED;;Light emitting diode;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
D102; ;1;TX_LED;LED;;Light emitting diode;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
D201; D202; ;2;MB05F;D_Bridge_+-AA;;Diode bridge, +ve/-ve/AC/AC;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
D203; ;1;STS130A;D_Schottky;;Schottky diode;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
H101; H102; H103; H104; H105; ;5;MountingHole;MountingHole;MountingHole:MountingHole_3.2mm_M3;Mounting Hole without connection;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J101; ;1;USB_B_Micro;USB_B_Micro;Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal;USB Micro Type B connector;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J102; ;1;Expansion conn;Conn_01x06;Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical;Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J103; ;1;DebugConn;Conn_01x06;Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical;Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J201; ;1;Mains (230V, 50Hz);Screw_Terminal_01x02;;Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J301; ;1;ProbeConnector;Conn_01x06;;Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
J401; ;1;RF2-03-T-00-50-G;Conn_Coaxial;;coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
L201; ;1;2u2;L;;Inductor;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
L401; L403; L404; L405; ;4;12n;L;;Inductor;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
L402; L407; ;2;18n;L_Small;;Inductor, small symbol;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
L406; ;1;3n3;L_Small;;Inductor, small symbol;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
R101; R104; R106; R107; R108; ;5;2k;R_Small;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small symbol;;;;;;;;;;;;;;;;
